CustomerID,LookalikeID,SimilarityScore
C0001,C0137,0.9999919840914026
C0001,C0152,0.9999836823054538
C0001,C0107,0.9987942530768055
C0002,C0142,0.9929875591787781
C0002,C0043,0.9907091636183376
C0002,C0177,0.9715077093581103
C0003,C0133,0.999601458177803
C0003,C0052,0.9991283169338654
C0003,C0125,0.9972321821369902
C0004,C0122,0.9970433146826027
C0004,C0113,0.9964677193848507
C0004,C0102,0.9936289756507898
C0005,C0159,0.9999117144387663
C0005,C0123,0.9998524832432237
C0005,C0178,0.9997567447162259
C0006,C0117,0.9971685849568594
C0006,C0158,0.9958389110567367
C0006,C0079,0.9948370840206489
C0007,C0092,0.999998129945819
C0007,C0193,0.9999679390437886
C0007,C0140,0.997154042387192
C0008,C0109,0.9815784596589123
C0008,C0124,0.9795501013593989
C0008,C0017,0.9651609450870048
C0009,C0062,0.9858930524110197
C0009,C0198,0.9824623739973276
C0009,C0033,0.9780221185347838
C0010,C0199,0.9968850394669458
C0010,C0121,0.984561836303461
C0010,C0166,0.973688292535385
C0011,C0107,0.9998134930448371
C0011,C0048,0.9997585573421495
C0011,C0183,0.998403287226886
C0012,C0155,0.9997307225463602
C0012,C0108,0.9980702007496365
C0012,C0013,0.9930823757837551
C0013,C0087,0.9964188086752696
C0013,C0155,0.9955397123555754
C0013,C0012,0.9930823757837551
C0014,C0060,0.9993616986269039
C0014,C0198,0.9950556382650446
C0014,C0063,0.9898872706207419
C0015,C0144,0.9996505108795136
C0015,C0151,0.998737444161118
C0015,C0150,0.9971345770759648
C0016,C0183,0.9999785978204231
C0016,C0048,0.9991556250907531
C0016,C0011,0.9980125600399858
C0017,C0109,0.9968322318352288
C0017,C0156,0.9805004285616187
C0017,C0075,0.9795303014462667
C0018,C0148,0.99999384322898
C0018,C0064,0.9991164100490875
C0018,C0171,0.9988361575220052
C0019,C0172,0.9999840467091892
C0019,C0049,0.9380686817014929
C0019,C0111,0.9340377799000225
C0020,C0061,0.9998566730313199
C0020,C0167,0.9993710166031562
C0020,C0073,0.9991684881370101
